count,comparison,n_cpu,n_other,mean_cpu_s,mean_other_s,welch_t_stat,p_value
64,CPU_vs_QPU_main,5,5,3.864620011881925e-05,0.13933979200010066,-18.529645728996634,4.9922514498487285e-05
128,CPU_vs_QPU_main,5,5,3.555199982656632e-05,0.12430325240020457,-110.63427856918698,4.002721922269471e-08
256,CPU_vs_QPU_main,5,5,3.7727200469817036e-05,0.12435411040023606,-181.71004037896273,5.501183785969313e-09
512,CPU_vs_QPU_main,5,5,4.4464800521382133e-05,0.1333034480001515,-58.84253683578997,4.994419974188955e-07
1024,CPU_vs_QPU_main,5,5,4.225740012770984e-05,0.12847527100020667,-163.10857539400033,8.474469235582685e-09
64,CPU_vs_GPU_fallback_included,5,5,4.020279993710574e-05,2.3364799562841655e-05,7.7236583924970414,0.0013900145729893198
128,CPU_vs_GPU_fallback_included,5,5,3.943179981433786e-05,2.461360054439865e-05,7.27897699801916,0.00012551549917354888
256,CPU_vs_GPU_fallback_included,5,5,3.9324200406554156e-05,2.7865199808729812e-05,2.873777224816734,0.0315252321002739
512,CPU_vs_GPU_fallback_included,5,5,4.180819996690843e-05,2.8270000620977952e-05,4.219507473611092,0.003054759543228136
1024,CPU_vs_GPU_fallback_included,5,5,4.338559992902447e-05,3.9931200444698336e-05,0.4911236090620354,0.6474983441483187
