run_index,trial_index,count,planned_qubits,platform,platform_runtime_label,algorithm,backend_type,backend_name,is_fallback,included_in_analysis,success,error,execution_time_s,throughput_numbers_per_s,peak_memory_mb,qpu_qubits,time_per_item_s
1,1,64,6,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.039400118927006e-05,1584393.6751925545,329.80859375,,6.311562685823446e-07
1,1,64,6,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,True,True,,2.3372998839477077e-05,2738202.3350766515,329.80859375,,3.6520310686682933e-07
1,1,64,6,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.1305751229992893,490.13930471540385,329.8515625,6,0.0020402362968638954
1,2,64,6,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.639799979282543e-05,1758338.3802484476,329.8515625,,5.687187467628974e-07
1,2,64,6,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,True,True,,2.3051999960443936e-05,2776331.7764107566,329.8515625,,3.601874993819365e-07
1,2,64,6,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.13078842399954738,489.33994342053916,329.890625,6,0.0020435691249929278
1,3,64,6,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.772200009028893e-05,1341100.538093824,329.890625,,7.456562514107645e-07
1,3,64,6,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,True,True,,2.4093000320135616e-05,2656373.1851409264,329.890625,,3.76453130002119e-07
1,3,64,6,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12769791500068095,501.182811008768,329.92578125,6,0.00199527992188564
1,4,64,6,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.1023999074241146e-05,1560062.4377008975,329.92578125,,6.409999855350179e-07
1,4,64,6,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,True,True,,2.3517999579780735e-05,2721319.8887469615,329.92578125,,3.67468743434074e-07
1,4,64,6,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.1290879970001697,495.78583204692427,329.9609375,6,0.0020169999531276517
1,5,64,6,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.5475999538903125e-05,1804036.555187609,329.9609375,,5.543124927953613e-07
1,5,64,6,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,True,True,,2.2787999114370905e-05,2808495.8086398807,329.9609375,,3.560624861620454e-07
1,5,64,6,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12804426299953775,499.8271574278267,329.97265625,6,0.0020006916093677773
2,1,128,7,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.8035999750718474e-05,3365232.959272542,330.05078125,,2.971562480524881e-07
2,1,128,7,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,True,True,,2.3755999791319482e-05,5388112.524178907,330.05078125,,1.8559374836968345e-07
2,1,128,7,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.1331632109995553,961.2264456466693,330.078125,7,0.0010403375859340258
2,2,128,7,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.018099934910424e-05,3185585.278452103,330.078125,,3.139140574148769e-07
2,2,128,7,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,True,True,,2.351200055272784e-05,5444028.453170037,330.078125,,1.8368750431818626e-07
