run_index,trial_index,count,planned_qubits,platform,platform_runtime_label,algorithm,backend_type,backend_name,is_fallback,included_in_analysis,success,error,execution_time_s,throughput_numbers_per_s,peak_memory_mb,qpu_qubits,time_per_item_s
1,1,64,6,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.472500065981876e-05,1843052.5207752157,329.81640625,,5.425781353096681e-07
1,1,64,6,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.4317001589224674e-05,2631903.434523754,329.81640625,,3.7995314983163553e-07
1,1,64,6,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.13657370600049035,468.611432421481,329.84375,6,0.0021339641562576617
1,2,64,6,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.333099968789611e-05,1477002.6184712623,329.84375,,6.770468701233767e-07
1,2,64,6,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.5064999135793187e-05,2553361.3487585187,329.84375,,3.9164061149676854e-07
1,2,64,6,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.15958408299957227,401.0425024666873,329.89453125,6,0.002493501296868317
1,3,64,6,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.4145999709144235e-05,1449734.979877311,329.89453125,,6.897812454553787e-07
1,3,64,6,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,3.261699930590112e-05,1962167.0099009085,329.89453125,,5.09640614154705e-07
1,3,64,6,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.1536379909994139,416.56363496867226,329.9375,6,0.002400593609365842
1,4,64,6,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.640000068116933e-05,1758241.7253390017,329.9375,,5.687500106432708e-07
1,4,64,6,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.509700061636977e-05,2550105.5276802825,329.9375,,3.9214063463077764e-07
1,4,64,6,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.1221214310007781,524.0685396127747,329.96484375,6,0.0019081473593871578
1,5,64,6,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.462899985606782e-05,1848161.9528721585,329.96484375,,5.410781227510597e-07
1,5,64,6,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.2781001462135464e-05,2809358.4957788205,329.96484375,,3.559531478458666e-07
1,5,64,6,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12478174900024896,512.8955196795031,329.9765625,6,0.00194971482812889
2,1,128,7,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.600899981393013e-05,3554666.907201433,330.05859375,,2.8132031104632915e-07
2,1,128,7,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.392799979133997e-05,5349381.524414999,330.05859375,,1.8693749836984352e-07
2,1,128,7,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12308325500089268,1039.9464979949682,330.08984375,7,0.000961587929694474
2,2,128,7,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.6067000110051595e-05,3548950.5533987395,330.08984375,,2.817734383597781e-07
2,2,128,7,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.4166000002878718e-05,5296697.839309456,330.08984375,,1.8879687502248998e-07
2,2,128,7,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12406289299906348,1031.7347669860176,330.09375,7,0.0009692413515551834
2,3,128,7,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.513999945425894e-05,3642572.623446256,330.09375,,2.74531245736398e-07
2,3,128,7,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.386599953752011e-05,5363278.407793866,330.09375,,1.8645312138687586e-07
2,3,128,7,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12480431100084388,1025.605597863799,330.09375,7,0.0009750336796940928
2,4,128,7,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.49709989677649e-05,3660175.6820840645,330.09375,,2.732109294356633e-07
2,4,128,7,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.2879999960423447e-05,5594405.604082487,330.09375,,1.7874999969080818e-07
